k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,433809.1710633316,0.20330305689868047,1.9258155793514389,2325.3765592173736
3,383208.8258755217,0.160556010470555,2.0129232350474595,1968.7092534571148
4,349506.58426670847,0.14365178818670726,1.782924004818866,1755.7964117756496
5,325904.36913500744,0.15012446264158472,1.9961519553234415,1592.0225163176253
6,310026.07336855994,0.13492484631936386,2.0474458068291965,1446.1134546543365
7,294520.86381367187,0.13966013817233217,1.9220277685575933,1360.9225110531859
8,283019.3550547863,0.13643184584255164,1.957090583701176,1268.5225240274092
9,274326.4783334393,0.13416676360888258,2.0108142889792733,1181.9932331658313
10,265814.23373301927,0.13010337807955144,2.0451906140174954,1118.1288166271106
